가중치(진척도P),등급,공작명,설명,조건,소모 자원,상세 효과,비고,구현여부,수정내용,수정내용 -> 여기에 텍스트로 적어서 수정
20,일반,한숨 돌리기,휴우...,정치력 15 이상,경건함 20,체력 20 증가,-,,,
20,일반,은밀한 논의,...점심 뭐 먹지?,정치력 30 이하,경건함 20,정치력 15 증가,-,,,
20,일반,마니또,소소한 선물이야,정치력 30 이상,경건함 15,무작위 상대 후보 한명 경건함 30 증가,-,,,
10 + 0.1P,일반,광대 놀음,상갓집 개 노릇,정치력 60 이상,경건함 30,정치력 10 감소,-,,,
20,일반,골탕 먹이기,안 아 줘 요,정치력 20 이상,경건함 15,무작위 상대 후보 한명 체력 15 감소,-,,,
15,일반,커피 회동,커피 한 잔의 여유,정치력 25 이상,경건함 20,모든 후보 정치력 10 증가,-,,,
15,일반,드랍 더 비트,새긴다! 태양의 비트!,정치력 20 이상,경건함 15,모든 후보 이동속도 10% 증가 20초,-,,,
20,일반,삼위일체,트포다 트포,"체력, 정치력, 
경건함 33 이상",-,"체력 33 증가
정치력, 경건함 3 증가",-,,,
20,일반,태양의 눈,"태양의 눈을 지닌 자여, 신실함을 보여라.",정치력 20 이상,,가장 경건함이 낮은 상대 후보 체력 20 감소,상대 사용,,,
20,일반,태양의 발,"태양의 발을 지닌 자여, 고결함을 새겨라.",정치력 20 이상,,"가장 경건함이 낮은 상대 후보 체력 10 감소, 경건함 20 증가",상대 사용,,,
20,일반,태양의 혀,"태양의 혀를 지닌 자여, 정당함을 말하라.",정치력 20 이상,,"자신을 포함한 모든 후보, 50% 확률로 체력 20 감소 및 정치력 20 증가.
50% 확률로 체력 10 증가.",상대 사용,,,
20,고급,푹 쉬기,쉬었음 추기경,정치력 40 이상,경건함 35,체력 20 증가 <- ?,-,,,
10 + 0.15P,고급,심도 있는 논의,파인애플 피자는 이단인가?,-,경건함 15,정치력 15 증가,-,,,
20,고급,태양 경배 자세,Yoga 고수가 될 거야!,-,-,경건함 30 증가,-,,,
20,고급,열렬한 찬양,추기경님 축지법 쓰신다,정치력 40 이상,경건함 15,가장 정치력이 높은 상대 후보 경건함 30 증가,-,,,
20,고급,삼위일체?,삼삼 금지,"체력, 정치력, 
경건함 33 이상",-,"체력 33 증가
정치력, 경건함 33 감소",-,,,
10 + 0.05P,고급,이 불경한 자가,깡!,정치력 50 이상,경건함 50,가장 경건함이 낮은 상대 후보 체력 40 감소,-,,,
20,고급,스몰 토크,제가 LA에 갔을 때 말이죠...,정치력 40 이상,경건함 35,"정치력 20 증가
모든 상대 후보 체력 15 감소",-,,,
15,고급,목 좀 축이세요,푸룬 주스가 뭘까...?,정치력 45 이하,경건함 45,가장 체력이 높은 상대 후보 행동 불가 45초,-,,,
20,고급,선물 개봉,한 번 만에 나왔는데 이거 좋은 건가요?,-,경건함 20,무작위 아이템 2개 획득,-,,,
15 + 0.05P,고급,무릎 꿇기,추진력을 얻기 위함이었다!,정치력 55 이상,경건함 10,"모든 상대 후보 정치력 15 감소
다음 날 첫 콘클라베 때 지난 콘클라베 수에 따라 모든 상대 후보 정치력 20 ~ 50 증가 ",-,,,
10 + 0.1P,고급,꼬리 자르기,쌀을 내주고 벼를 취한다,체력 50 이상,체력 30,이동 속도 30% 증가 30초,-,,,
15,고급,노블레스 오블리주,큰 힘에는 큰 책임이 따른다,-,-,"가장 정치력이 높은 후보 경건함 30 감소
가장 정치력이 낮은 후보 경건함 30 증가",-,,,
15,고급,가지치기,줄건 줘,체력 40 이상,-,"체력, 정치력, 경건함 중 가장 적은 수치 절반으로 감소
나머지 15 증가",-,,,
10 + 0.1P,고급,앙코르,좋은 건 한 번 더 해야지,정치력 60 이상,경건함 40,저번 콘클라베에서 선출되었던 후보 정치력 30 증가,-,,,
15,고급,주사위 굴리기,주사위는 던져졌다,-,경건함 20,일반 아이템 '주사위' 2개 획득,-,,,
20,전설,젠체하기,큰 망신을 당할 수도...,정치력 50 이상,경건함 70,그러나 아무 일도 일어나지 않았다.,-,,,
5 + 0.15P,전설,레수르스망,나 다시 돌아갈래!,정치력 30 이하,경건함 40,모든 후보의 정치력을 경건함으로 전환,-,,,
,전설,점심 복사 버그,떡과 생선이 복사가 돼요,-,경건함 35,"체력 5 증가
정치력 2 증가
(경건함)% 확률로 특수 엔딩",-,"특수 엔딩 미구현
조건이 없을 때 UI 표시 
어떻게 할건지",,
10,전설,결코 다시 전쟁!,"성전이다, 우매한 이단들아!",정치력 55 이상,-,"모든 후보 정치력 40 증가
이번 콘클라베 동안 자신의 체력 최소 1 유지",-,,,
10 + 0.05P,전설,숙면,드르렁 쿨쿨...,정치력 85 이상,경건함 50,"정치력을 20으로 조정
이번 콘클라베 동안 행동 불가",-,,,
15,전설,굴뚝 조작,금단의 비기,정치력 70 이상,경건함 70,특수 아이템 '연막탄' 1개 획득,-,,,
15,전설,나는 용서하마,하지만 이 녀석이 용서할까?,정치력 60 이상,경건함 60,"다음 콘클라베 때, 이번 콘클라베 동안 감소한 체력만큼 모든 상대 후보의 체력 감소",-,,,
20,전설,언더독,중요한 것은 꺾이지 않는 마음,정치력 50 이상,경건함 40,"가장 체력이 낮은 후보 정치력, 경건함 60 증가",-,,,
