,,,,,,"교황 -> 교주
신 -> 태양
상호작용 -> 기도/연설
(이벤트 아님)",,,"*수정*
교황 -> 교주
교황청(장소), 대성당 -> 대신전
교황청(단체) -> 교단
상호작용 -> 기도/연설
신 -> 태양",,,,,,,,,,,,,,,,,,
아이디,번호,분류(편의상),가중치,선행,기피,발생 조건,발생 횟수,제목,설명,선택지 1,선택지 1 조건,성공 확률,결과 텍스트,효과,실패 시 결과 텍스트,효과,선택지 2,성공 확률,결과 텍스트,효과,실패 시 결과 텍스트,효과,비고,구현여부,수정내용,,
11100,1,튜토리얼,INF,,,게임 시작 시 바로,1,큰일났다!,"위대한 태양 교단의 교주를 뽑는 성스러운 회의, 썬ㅡ클라베.
평생 태양만을 찬양하며 보낸 나는, 어느 새 가장 유력한 교주 후보가 되어 있었다.
하지만 어림도 없지, 지금 당장 은퇴해도 평생 먹고 놀며 살 수 있는데?
어떻게든 내가 아닌 다른 유력 후보들을 교주로 만들어야 한다.
후보들이 다들 어딘가 이상한 것 같지만, 교단이 어떻게 되던 내가 무슨 상관이람?",그래도 교주에 도전한다!,,,"[HELL MODE]
게임 설명을 제대로 읽으셨나요?
이 선택에는 엄청난 책임이 따를 것입니다...

경건함 80 증가!
정치력 40 증가!
체력 감소량 2배!","경건함 +80
정치력 +40
체력 감소량 2배",,,"교주는 무슨, 나는 놀고먹는 노후를 원한다!",,"제한시간이 끝나면 투표를 진행합니다.
능력치가 가장 높은 후보는 확률적으로 교주가 될 수 있습니다.
능력치를 낮춰서, 교주 선출을 피하세요!

아무 일도 일어나지 않았다.",,,,,,,발생조건구현x,
11200,2,튜토리얼,INF,1,,1-1에서 무조건,1,기도,"하루에 네 번씩 회의를 하는 건 너무나도 피곤한 일이다.
감실 앞에서 기도를 하는 척하며 숨을 돌리면 체력이 회복되지 않을까?
괜히 사람들 시선이 끌리긴 하지만, 일단 힘이 들면 기도를 해 보자.",꾸준히 기도해서 체력을 채우자!,,,"기도를 하면 일정 확률로 체력과 경건함이 회복됩니다.
경건함은 공작을 사용할 때 소모되는 중요한 자원입니다.
너무 높다면 교주 선출 확률이 높아지니 조심하세요!",,,,,,,,,,,,,발생조건구현x,
11300,3,튜토리얼,INF,2,,1-1에서 무조건,1,연설,"아무것도 하지 않으면, 교단의 추기경들이 나를 뽑는 꼴을 지켜 보고만 있어야 한다.
공개 연설을 해서 정치적인 영향력을 키운 다음,
그 영향력으로 다른 후보에게 교주 자리를 떠넘기면 되지 않을까?
어둠의 공작을 할 때도 도움이 될 것 같다!",가끔 연설도 해 보자!,,,"연설을 하면 정치력이 증가합니다.
정치력이 높다면 더 강력한 공작으로 상대를 견제할 수 있습니다.
정치력이 높다면 교주 선출 확률이 상승합니다.
한 번 올린 정치력은 쉽게 낮아지지 않으니, 전략적으로 결정하세요!",,,,,,,,,,,,,발생조건구현x,
12100,4,공작,30,,,,2,태양의 눈,"(랜덤) 후보가 당신의 눈에 깃든 태양의 빛을 시험합니다.

태양의 눈을 지닌 자여, 신실함을 보여라.",내 안에 숨겨진 신성한 태양 에너지를 보여 준다.,경건함 30 이상,,"당신은 후드를 벗고, 그 속에 숨겨진 신성한 태양 에너지를 보여줍니다. 찬란한 태양의 빛을 반사한 매끈매끈한 당신의 이마를 보고, 주변 좌중이 모두 감탄을 금치 못합니다.",정치력 +5,,,신앙을 검증하기 위해 태양을 뚫어져라 쳐다본다.,50%,"태양의 찬란한 에너지가 대뇌의 전두엽을 꿰뚫는다. 당신의 경건한 모습을 바라본 다른 추기경들은 감탄한다.
눈은 아프지만 몸이 건강해지는 느낌이다.
기분 탓일까?

기분 탓이 맞다. 체력 10 감소!",체력 -10,"태양의 찬란한 에너지를 받아들이다 못해 그만 눈을 감고 말았다.
눈물이 난다.
태양 앞에서 눈물을 흘리는 당신의 모습을 본 다른 후보들은 감동을 금치 못한다.

체력 20 감소!","체력 -20
화면 일시적으로 하얗게",,,,화면효과 미구현,
12200,5,공작,30,,,,2,태양의 발,"(랜덤) 후보가 당신의 발에 깃든 태양의 불을 시험합니다.

태양의 발을 지닌 자여, 고결함을 새겨라.",태양의 호흡으로 발을 구른다.,경건함 40 이상,,"당신은 숨을 크게 들이쉬고, 태양의 기운을 담아 내쉰다.
그리고는 왼발을 들어올린다. 왼발이 땅에 닿기 전에 오른발을 들어올린다.
당신의 다리는 신성한 빛을 받아 떠오른다.
연회장의 모든 사람들이 그 모습에 넋을 잃고 바라본다.

경건함 10 증가!",경건함 +10,,,발에 불이 붙을 때까지 발바닥을 비벼 본다.,70%,"당신은 숨을 크게 들이쉬고, 
일단 죽어라고 발바닥을 비벼 본다.
...진짜로 발바닥에 불이 붙었다!
진짜 뜨겁다!

체력 10 감소!
이번 썬ㅡ클라베 동안 이동속도 30% 증가!
","체력 -10
이번 콘클라베 동안 이동 속도 30% 증가","당신은 숨을 크게 들이쉬고,
일단 죽어라고 발바닥을 비벼 본다.
...그만 발목을 접지르고 말았다!
진짜 아프다!

체력 10 감소!
이번 썬ㅡ클라베 동안 이동속도 20% 감소!","체력 -10
이번 콘클라베 동안 이동 속도 20% 감소",,,,이동속도 로직 미구현,
12300,6,공작,30,,,,2,태양의 입,"(랜덤) 후보가 당신의 입에 깃든 태양의 에너지를 시험합니다.

태양의 혀를 지닌 자여, 정당함을 말하라.",빨간 열매를 먹는다.,,50%,"열매를 먹자, 태양의 따스한 기운이 몸 구석구석을 채우는 것이 느껴진다!

체력 10 회복!",체력 +10,"열매를 먹자, 태양의 따스한 기운이...따스한 기운이...
당신은 열매의 매콤함에 정신이 아득해진다.
우유를 달라고 간절히 몸부림쳐 보지만,
연회장의 성직자들은 당신의 열렬한 율동에 감탄하며 구경할 뿐이다.

경건함 20 증가!
체력 20 감소!",경건함 +20,파란 열매를 먹는다.,50%,"열매를 먹자, 태양의 따스한 기운이 몸 구석구석을 채우는 것이 느껴진다!

체력 10 회복!",체력 +20,"열매를 먹자, 태양의 따스한 기운이...따스한 기운이...
당신은 열매의 매콤함에 정신이 아득해진다.
우유를 달라고 간절히 몸부림쳐 보지만,
연회장의 성직자들은 당신의 열렬한 율동에 감탄하며 구경할 뿐이다.

경건함 20 증가!
체력 20 감소!",경건함 +20,,,,,
20000,7,스토리,40 + 0.1P,,,,1,콜버스의 선원,"낡은 선원복을 입은 한 젊은이가 연회장 문을 거세게 두드리고 있다!
자신이 교단 수석 탐험가인 콜버스가 이끈 탐사대의 마지막 생존자라고 주장하는 그는,
갑자기 바다 한가운데에 거대한 폭포가 나타나 탐사선들이 모두 휩쓸려 버렸다고 말한다!
그가 가져온 기록은 진짜임에 틀림없으나, 내용이 너무나도 터무니없다!
이 사람을 믿고 조사를 맡겨봐야 할까?",선원을 믿고 조사를 강력하게 요청한다!,경건함 30 이상,,본 사건을 왕립학회와 교단 과학위원회에 회부하였다!,,,,무시한다.,,아무 일도 일어나지 않았다.,,,,트럼프 일반 엔딩과 성전 엔딩을 보기 위한 기초적인 루트.,,,,
21000,8,스토리,20 + 0.1P,7,,,1,과학적 발견,"교단 과학회에서 기존의 과학 이론에 의문을 제기했다!
여러 가지 위도에서 태양의 그림자를 관찰한 결과, 땅에는 곡률이 전혀 없다는 사실을 밝혀 내었다.
또, 지질학자들은 지진파가 코끼리 울음소리와 매우 유사하다고 주장하였다.
혹시 지구가 둥글다는 태양교 교리와 어긋난 이단적 연구를 하고 있지 않을까?",교리보다 현실이 중요하다. 열린 마음으로 교리 개정에 대해 논의하자.,경건함 40 이상,,"과학의 발전과 교리 변화에 대해 열띤 토론을 펼쳤다!

경건함 10 증가!
정치력 10 감소!","정치력 -10
경건함 +10",,,이단 과학이 판치지 못하도록 과학자들을 숙청하자!,,"회담장의 분위기가 후끈 달아올랐다!
몇몇 후보들은 현실을 직시하는 것이 중요하다면서,
이 결정에 동의하지 않는 듯하다.

정치력 10 증가!",정치력 +10,,,,,,,
21100,9,스토리,0.2P,8,"13, 14, 20, 21",8번 이벤트에서 선택지 1 선택,1,"신앙인가, 과학인가?","왕립학회에서 지구는 사실 네 마리의 코끼리가 받치고 있는 원반이며,
땅 끝에는 절벽이 있다는 사실을 공표하였다!
(후보 1)은(는) 이를 태양교에 대한 중대한 이단 행위로 보고, 학회 과학자들을 전부 파문할 것을 강력히 주장한다!
(후보 2)은(는) 태양은 우주 만물에 깃들어 있으므로, 우리가 믿음을 가진다면 지구가 평평하더라도 문제없다고 주장한다.",(후보 1)을(를) 지지한다.,,,"(후보 1)이(가) 당신에게 깊은 감사를 표했다!
그는 교단을 위협하는 어둠의 무리에 결연히 맞서 싸울 것을 당부한다.

정치력 10 증가!
(후보 1)의 정치력 10 증가!
공작에서 (후보 2)이(가) 받는 체력 피해 10 증가!","정치력 +10
후보 1 정치력 10
공작 사용 시, 후보 2가 받는 체력 피해가 있다면 +10",,,(후보 2)을(를) 지지한다.,,"(후보 2)이(가) 당신에게 깊은 감사를 표했다!
그는 빠르게 변하는 세상에서, 교단이 사람들을 이끄는 등불이 되기를 원한다.

정치력 10 증가!
후보 2 정치력 10 증가!
기도 시 체력 회복량 5 증가! ","정치력 +10
후보 2 정치력 +10
기도 시 체력 회복량 +5",,,,,"8번에서 선택지
2 -> 1로 변경.","기피조건입력x, 공작피해증폭구현x, 설명후보명출력구현x, 후보랜덤인지? 발생조건구현x","후보는 고정, 이름만 랜덤"
